rating_id,trip_id,driver_id,rider_id,rating_by,rating_value,review_text,cleanliness_score,punctuality_score,communication_score,rating_timestamp
RTG000001,TRP0002973,DRV00246,RDR001033,driver,4.0,Review comment 1,3,3,1,2023-07-10T00:00:00Z
RTG000002,TRP0002048,DRV00081,RDR000645,rider,4.8,Review comment 2,4,2,1,2023-09-18T00:00:00Z
RTG000003,TRP0003619,DRV00063,RDR000521,rider,1.6,Review comment 3,1,1,1,2023-05-12T00:00:00Z
RTG000004,TRP0000362,DRV00166,RDR000024,rider,4.8,Review comment 4,5,5,4,2023-12-19T00:00:00Z
RTG000005,TRP0000181,DRV00279,RDR001403,driver,3.4,Review comment 5,4,1,2,2023-11-26T00:00:00Z
RTG000006,TRP0000662,DRV00161,RDR000958,driver,1.2,Review comment 6,2,1,1,2023-02-23T00:00:00Z
RTG000007,TRP0002523,DRV00221,RDR000467,driver,2.3,Review comment 7,4,1,4,2023-03-13T00:00:00Z
RTG000008,TRP0002115,DRV00131,RDR001954,rider,3.0,Review comment 8,2,4,1,2023-03-08T00:00:00Z
RTG000009,TRP0001531,DRV00236,RDR001761,rider,4.1,Review comment 9,5,4,4,2023-01-03T00:00:00Z
RTG000010,TRP0001030,DRV00041,RDR001528,rider,1.7,Review comment 10,1,5,2,2023-01-08T00:00:00Z
RTG000011,TRP0003247,DRV00125,RDR001065,rider,1.0,Review comment 11,5,3,5,2023-06-29T00:00:00Z
RTG000012,TRP0000601,DRV00278,RDR001517,driver,4.7,Review comment 12,1,1,2,2023-07-06T00:00:00Z
RTG000013,TRP0002740,DRV00133,RDR001988,rider,4.1,Review comment 13,5,5,5,2023-04-19T00:00:00Z
RTG000014,TRP0001136,DRV00064,RDR001780,driver,3.0,Review comment 14,3,5,3,2023-08-15T00:00:00Z
RTG000015,TRP0002072,DRV00173,RDR000044,driver,3.5,Review comment 15,4,5,1,2023-02-12T00:00:00Z
RTG000016,TRP0001660,DRV00130,RDR000814,rider,2.6,Review comment 16,3,4,4,2023-07-21T00:00:00Z
RTG000017,TRP0002747,DRV00105,RDR000789,rider,1.7,Review comment 17,4,2,1,2023-09-20T00:00:00Z
RTG000018,TRP0002224,DRV00172,RDR001210,rider,3.4,Review comment 18,4,5,4,2023-07-15T00:00:00Z
RTG000019,TRP0002225,DRV00078,RDR000943,rider,2.2,Review comment 19,5,3,5,2023-06-13T00:00:00Z
RTG000020,TRP0000354,DRV00182,RDR000021,driver,2.7,Review comment 20,2,4,2,2023-06-25T00:00:00Z
RTG000021,TRP0001802,DRV00242,RDR000700,driver,2.2,Review comment 21,5,3,3,2023-03-30T00:00:00Z
RTG000022,TRP0001227,DRV00246,RDR000875,rider,4.3,Review comment 22,3,1,4,2023-10-02T00:00:00Z
RTG000023,TRP0000808,DRV00034,RDR001456,rider,1.5,Review comment 23,3,2,1,2023-12-09T00:00:00Z
RTG000024,TRP0002941,DRV00144,RDR001615,driver,2.9,Review comment 24,2,5,1,2023-04-08T00:00:00Z
RTG000025,TRP0000645,DRV00075,RDR001364,driver,1.2,Review comment 25,3,3,3,2023-05-23T00:00:00Z
RTG000026,TRP0000035,DRV00059,RDR000410,rider,2.9,Review comment 26,3,1,2,2023-05-09T00:00:00Z
RTG000027,TRP0000917,DRV00161,RDR000280,rider,5.0,Review comment 27,3,5,5,2023-11-20T00:00:00Z
RTG000028,TRP0000653,DRV00232,RDR000200,rider,3.9,Review comment 28,4,5,1,2023-11-27T00:00:00Z
RTG000029,TRP0001069,DRV00269,RDR001404,rider,2.5,Review comment 29,4,1,2,2023-07-14T00:00:00Z
RTG000030,TRP0002660,DRV00062,RDR000036,driver,2.7,Review comment 30,2,3,5,2023-07-05T00:00:00Z
RTG000031,TRP0000543,DRV00281,RDR000629,driver,3.7,Review comment 31,2,5,3,2023-09-20T00:00:00Z
RTG000032,TRP0000030,DRV00162,RDR000999,rider,3.8,Review comment 32,1,2,1,2023-02-26T00:00:00Z
RTG000033,TRP0000930,DRV00097,RDR000744,rider,4.0,Review comment 33,5,4,5,2023-06-23T00:00:00Z
RTG000034,TRP0001510,DRV00221,RDR001240,driver,2.3,Review comment 34,2,1,1,2023-09-01T00:00:00Z
RTG000035,TRP0003783,DRV00043,RDR000090,driver,4.5,Review comment 35,5,1,1,2023-03-27T00:00:00Z
RTG000036,TRP0002051,DRV00146,RDR000540,rider,4.5,Review comment 36,3,5,2,2023-11-06T00:00:00Z
RTG000037,TRP0000088,DRV00247,RDR000750,rider,1.2,Review comment 37,3,1,4,2023-09-13T00:00:00Z
RTG000038,TRP0002731,DRV00187,RDR000775,rider,1.7,Review comment 38,1,3,5,2023-04-06T00:00:00Z
RTG000039,TRP0003295,DRV00091,RDR001093,rider,4.2,Review comment 39,5,2,3,2023-01-01T00:00:00Z
RTG000040,TRP0000412,DRV00138,RDR001246,rider,2.8,Review comment 40,2,3,1,2023-03-08T00:00:00Z
RTG000041,TRP0000500,DRV00187,RDR000062,rider,3.3,Review comment 41,3,5,2,2023-01-29T00:00:00Z
RTG000042,TRP0002596,DRV00050,RDR000316,driver,3.8,Review comment 42,5,3,2,2023-09-18T00:00:00Z
RTG000043,TRP0002601,DRV00073,RDR001331,rider,4.3,Review comment 43,1,2,3,2023-04-08T00:00:00Z
