trip_id,driver_id,rider_id,pickup_city,pickup_lat,pickup_lon,dropoff_lat,dropoff_lon,trip_start_time,trip_duration_min,distance_km,vehicle_type,status,base_fare,surge_multiplier,total_fare,tip_amount,driver_rating,rider_rating,payment_method,is_surge
TRP0000001,DRV00168,RDR001933,San Diego,34.621701,-82.902836,37.677664,-111.006525,2023-03-26T14:29:00Z,36,16.24,Motorbike,No Show,37.34,1.81,77.36,19.29,1.8,2.2,Wallet,True
TRP0000002,DRV00047,RDR001444,Houston,38.575024,-116.185159,39.687398,-103.249285,2023-02-16T22:15:00Z,89,8.3,Motorbike,No Show,47.72,1.79,52.39,5.98,4.3,1.7,Corporate,False
TRP0000003,DRV00285,RDR000209,San Diego,39.431174,-111.709313,33.095655,-80.633245,2023-04-24T04:12:00Z,33,37.53,Premium,In Progress,16.92,1.74,38.25,12.89,3.3,2.0,Card,True
TRP0000004,DRV00034,RDR000264,New York,33.735829,-79.872605,39.471098,-112.486255,2023-08-25T01:10:00Z,84,10.29,Economy,In Progress,68.18,2.64,122.04,0.59,3.7,1.7,Cash,False
TRP0000005,DRV00141,RDR001269,San Antonio,37.935817,-88.872472,36.991133,-78.274964,2023-09-03T01:05:00Z,21,14.35,Premium,No Show,8.09,1.77,14.87,12.85,4.2,2.0,Card,False
TRP0000006,DRV00184,RDR001159,Dallas,37.019146,-100.522843,34.438527,-103.650509,2023-04-23T00:57:00Z,64,24.24,Economy,No Show,53.57,1.12,159.8,10.59,4.1,5.0,Cash,True
TRP0000007,DRV00127,RDR001621,Los Angeles,40.338076,-115.48411,40.971136,-108.126479,2023-07-18T11:59:00Z,36,33.01,Premium,Cancelled,81.45,1.35,177.97,16.12,3.8,4.7,Card,False
TRP0000008,DRV00291,RDR001714,Los Angeles,40.90405,-78.326814,36.937814,-104.092612,2023-09-09T01:05:00Z,74,28.4,Motorbike,Completed,142.41,1.47,204.73,10.53,1.0,4.7,Cash,False
TRP0000009,DRV00175,RDR000303,San Jose,37.692873,-76.724913,39.194932,-79.90836,2023-07-06T02:23:00Z,43,35.99,Motorbike,In Progress,11.75,2.17,19.66,6.45,4.9,3.9,Corporate,False
TRP0000010,DRV00163,RDR001903,San Jose,37.909672,-101.94285,38.324253,-81.349559,2023-07-13T09:46:00Z,73,9.12,SUV,No Show,104.95,1.25,257.93,18.98,4.8,2.6,Card,False
TRP0000011,DRV00163,RDR001159,San Jose,33.832882,-95.671672,35.649347,-114.498701,2023-06-27T10:10:00Z,80,46.09,SUV,Completed,35.47,2.64,83.0,14.59,2.3,1.0,Cash,False
TRP0000012,DRV00035,RDR000099,San Antonio,36.087497,-85.033698,40.752815,-78.19516,2023-09-10T12:22:00Z,15,17.85,Electric,In Progress,108.9,1.2,213.33,17.28,3.6,3.7,Cash,False
TRP0000013,DRV00038,RDR000653,Philadelphia,35.089022,-113.287373,35.734466,-78.043093,2023-03-24T23:04:00Z,6,40.06,SUV,Completed,46.35,1.68,137.69,17.86,3.8,2.7,Cash,False
TRP0000014,DRV00081,RDR000390,Phoenix,36.274239,-93.064941,40.404589,-93.694356,2023-12-05T09:19:00Z,44,3.15,Motorbike,Cancelled,33.22,1.19,59.32,10.99,3.0,1.2,Card,False
TRP0000015,DRV00045,RDR000984,Dallas,34.597398,-116.841894,34.366658,-104.868484,2023-02-11T15:54:00Z,86,15.08,Economy,Completed,94.89,1.62,170.32,9.78,3.6,1.4,Corporate,False
TRP0000016,DRV00190,RDR000092,Philadelphia,35.106368,-97.072392,34.809938,-105.91471,2023-02-01T04:48:00Z,49,44.33,SUV,Completed,30.43,1.17,51.35,10.83,4.9,3.4,Card,False
TRP0000017,DRV00268,RDR001918,San Antonio,36.798595,-78.325576,36.810098,-114.447023,2024-01-01T01:32:00Z,70,21.22,Electric,Cancelled,104.0,1.24,261.5,3.46,4.9,4.9,Cash,False
TRP0000018,DRV00022,RDR001685,San Antonio,38.01781,-80.465135,35.063091,-77.013798,2023-02-04T02:24:00Z,89,21.46,SUV,In Progress,67.0,2.1,181.79,10.39,4.7,1.0,Corporate,True
